VLINEAddUNIPort,PN6x,cli,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/6x/AddUNIportToVLINE.txt,Add UNI port to existing EPL service,,,,,,,,
VLINEAddUNIPort,PN10x,netconf,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/10x/VLINEAddUNIPort.txt,Add UNI port to existing EPL service ,,,,,,,,
RemoveUNIportFromVLINE,PN6x,cli,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/6x/RemoveUNIportFromVLINE.txt,Remove UNI port from existing ELINE service,,,,,,,,
RemoveUNIportFromVLINE,PN10x,netconf,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/10x/RemoveUNIportFromVLINE.txt,Remove UNI port from existing ELINE service,,,,,,,,
,,,,,,,,,,,,
EVPL,PN6x,cli,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/6x/EVPL.txt,Create EVPL Service,,,,,,,,
EVPL,PN10x,netconf,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/10x/EVPL.txt,Create EVPL service,,,,,,,,
DeleteEVPL,PN6x,cli,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/6x/DeleteEVPL.txt,Delete EVPL Service,,,,,,,,
DeleteEVPL,PN10x,netconf,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/10x/DeleteEVPL.txt,Delete EVPL service,,,,,,,,
,,,,,,,,,,,,
DeleteVLINE,PN6x,cli,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/6x/DeleteVLINE.txt,Delete VLINE Service,,,,,,,,
DeleteVLINE,PN10x,netconf,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/10x/DeleteVLINE.txt,Delete VLINE (VLAN switched) service,,,,,,,,
DeleteVLINEwithCFM,PN10x,netconf,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/10x/DeleteVLINEwithCFM.txt,Delete VLINE (VLAN switched) service with CFM (10x only),,,,,,,,TEST TEST TEST TEST
DeleteVLINEwithCFM,PN6x,cli,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/6x/DeleteVLINEwithCFM.txt,Delete VLINE Service with CFM,,,,,,,,
,,,,,,,,,,,,
Y1564Setup15mTagged,PN10x,netconf,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/10x/Y1564Setup15mTagged.txt,https://youtu.be/t5wnMfoeTDk  Setup Y.1564 test where you send Tagged traffic for 15 minutes,,,,,,,,
Y1564Setup15mUntagged,PN10x,netconf,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/10x/Y1564Setup15mUntagged.txt,https://youtu.be/t5wnMfoeTDk  Setup Y.1564 test where you send Untagged traffic for 15 minutes,,,,,,,,
Y1564SetupOnceUntagged,PN10x,netconf,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/10x/Y1564SetupOnceUntagged.txt,https://youtu.be/t5wnMfoeTDk  Setup Y.1564 test where you send untagged traffic Once,,,,,,,,
Y1564SetupOnceTagged,PN10x,netconf,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/10x/Y1564SetupOnceTagged.txt,https://youtu.be/t5wnMfoeTDk  Setup Y.1564 test where you send Tagged traffic Once,,,,,,,,
,,,,,,,,,,,,
Y1564Setup15mUntagged,PN6x,cli,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/6x/Y1564Setup15mUntagged.txt,https://youtu.be/t5wnMfoeTDk  Setup Y1564 untagged service to run once ,,,,,,,,
Y1564Setup15mTagged,PN6x,cli,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/6x/Y1564Setup15mTagged.txt,https://youtu.be/t5wnMfoeTDk  Setup Y1564 untagged service to run once ,,,,,,,,
Y1564SetupOnceUntagged,PN6x,cli,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/6x/Y1564SetupOnceUntagged.txt,https://youtu.be/t5wnMfoeTDk  Setup Y1564 untagged service to run once ,,,,,,,,
Y1564SetupOnceTagged,PN6x,cli,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/6x/Y1564SetupOnceTagged.txt,https://youtu.be/t5wnMfoeTDk  Setup Y1564 untagged service to run once ,,,,,,,,
,,,,,,,,,,,,
Y1564StartUntagged,PN6x,cli,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/6x/Y1564StartUntagged.txt,https://youtu.be/t5wnMfoeTDk  Start Y1564 untagged service,,,,,,,,
Y1564StartUntagged,PN10x,netconf,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/10x/Y1564StartUntagged.txt,Start a Y1564 Untagged test,,,,,,,,
Y1564StartTagged,PN10x,netconf,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/10x/Y1564StartTagged.txt,https://youtu.be/t5wnMfoeTDk  Start a Y1564 tagged test,,,,,,,,
Y1564StartTagged,PN6x,cli,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/6x/Y1564StartTagged.txt,https://youtu.be/t5wnMfoeTDk  Start Y1564 untagged service,,,,,,,,
,,,,,,,,,,,,
Y1564StopUntagged,PN10x,netconf,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/10x/Y1564StopUntagged.txt,Stop a Y1564 Untagged test,,,,,,,,
Y1564StopTagged,PN10x,netconf,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/10x/Y1564StopTagged.txt,Stop a Y1564 tagged test,,,,,,,,
,,,,,,,,,,,,
Y1564DeleteUntagged,PN6x,cli,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/6x/Y1564DeleteUntagged.txt,Delete Y1564 Untagged Test and Generator,,,,,,,,
Y1564DeleteTagged,PN6x,cli,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/6x/Y1564DeleteTagged.txt,Delete Y1564 Untagged Test and Generator,,,,,,,,
,,,,,,,,,,,,
Y1564DisableUntagged,PN10x,netconf,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/10x/Y1564DisableUntagged.txt,Disable Y1564 Untagged test so it can be deleted,,,,,,,,
Y1564DisableTagged,PN10x,netconf,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/10x/Y1564DisableTagged.txt,Disable Y1564 tagged test so it can be deleted,,,,,,,,
,,,,,,,,,,,,
Y1564DeleteUntagged,PN10x,netconf,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/10x/Y1564RemoveUntagged.txt,MUST Y1564DisableUntagged FIRST.  Delete Y1564 Untagged test and generator,,,,,,,,
Y1564DeleteTagged,PN10x,netconf,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/10x/Y1564RemoveTagged.txt,MUST Y1564DisableTagged FIRST.  Delete Y1564 Tagged test and generator,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
RFC2544Disable,PN10x,netconf,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/10x/RFC2544Disable.txt,Disable RFC2544 Test,,,,,,,,
RFC2544RemoveUntagged,PN10x,netconf,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/10x/RFC2544RemoveUntagged.txt,Delete RFC2544 Untagged Test,,,,,,,,
RFC2544RemoveTagged,PN10x,netconf,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/10x/RFC2544RemoveTagged.txt,Delete RFC2544 Tagged Test,,,,,,,,
RFC2544SetupTagged,PN10x,netconf,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/10x/RFC2544SetupTagged.txt,Setup RFC2544 Test for Tagged Traffic,,,,,,,,
RFC2544SetupUntagged,PN10x,netconf,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/10x/RFC2544SetupUntagged.txt,Setup RFC2544 Test for Untagged Traffic,,,,,,,,
RFC2544SetupUntaggedL3,PN10x,netconf,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/10x/RFC2544SetupUntaggedL3.txt,Setup RFC2544 Test for Untagged Traffic with L3 headers,,,,,,,,
RFC2544Start,PN10x,netconf,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/10x/RFC2544Start.txt,Start RFC2544 Test ,,,,,,,,
RFC2544Stop,PN10x,netconf,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/10x/RFC2544Stop.txt,Stop RFC2544 Test,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
RFC2544SetupUntagged,PN6x,cli,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/6x/RFC2544SetupUntagged.txt,https://youtu.be/t5wnMfoeTDk  Setup Y1564 untagged service to run once ,,,,,,,,
RFC2544SetupTagged,PN6x,cli,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/6x/RFC2544SetupTagged.txt,https://youtu.be/t5wnMfoeTDk  Setup Y1564 untagged service to run once ,,,,,,,,
RFC2544Start,PN6x,cli,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/6x/RFC2544Start.txt,https://youtu.be/t5wnMfoeTDk  Start Y1564 untagged service,,,,,,,,
RFC2544Stop,PN6x,cli,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/6x/RFC2544Stop.txt,https://youtu.be/t5wnMfoeTDk  Start Y1564 untagged service,,,,,,,,
RFC2544Delete,PN6x,cli,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/6x/RFC2544Delete.txt,Delete RFC2544 Test,,,,,,,,
